Account number,Organization,Row,RowName,project_type,mitigatin_activity,project_description,credit_retired,purpose_retiring,purchased_issued,standard
22341,Ecopetrol S.A.,5,,,Emissions reduction,"The Sogamoso Hydroelectric Project (hereafter referred to as the “Project”) developed by ISAGEN is a reservoir-based hydropower project located in the Santander Department of the Republic of Colombia. The maximum total installed capacity of the Project, based on the generators nameplate, will be 874.8 MW comprised of three Francis turbines. The estimated average electricity production supplied to the Colombian National Interconnected System (National Grid) will be 5,056 GWh per year. The purpose of the Project is to utilize the hydrological resources of the Sogamoso River through the construction of a dam to generate low emissions electricity for the Grid. In addition, the Project has received positive validation regarding its compliance of the WCD (World Commission on Dams) seven strategic priorities. The report concludes that the project “complies with all relevant requirements of the WCD and other criteria of the country in a satisfactory manner and in some respects in a higher than minimally required by Colombia national regulations”.",87201.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
22341,Ecopetrol S.A.,6,,Hydro,Emissions reduction,"The Rio Amoyá Run-of-River Hydro Project located in the Municipality of Chaparral in the Departament of Tolima, consists of a greenfield run-of-river power plant with a nominal capacity of 80 MW and an anticipated generation of approximately 513.6 GWh/year, based on the projected generation resulting from engineering studies contracted by ISAGEN in 1998 and 2005. The power plant will be connected to the national grid through an 18.6 km transmission line. The investment in the power plant includes the mitigation costs associated with construction and operation. The Project is considered not only as a project of electric power generation, but also as an ""Environmental Services Project"", since it contributes to decrease the global emissions of carbon through the substitution of polluting fuels as a source of electric power generation by the thermoelectric plants connected to the Grid (baseline scenario); and with its multiple benefits and capacity to yield and consolidate economic resources, it contributes to the conservation and protection of the Amoyá River’s basin and to the conservation of the páramo ecosystem. About the environmental effects, the Project, thanks to its characteristics of being a run-of-river-intake project with no dam, and the simplicity involving the civil works, had a minimum environmental impact, since it involves no settlement relocation or displacement whatsoever, it has a low effect on the ecosystems in the area of influence and its land requirements are minimal.",83799.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
22460,Hawaiian Holding,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
23132,Equinor,1,,Peatland protection and restoration,Emissions reduction,"The Rimba Raya Biodiversity Reserve Project, an initiative by InfiniteEARTH, aims to reduce Indonesia’s emissions by preserving some 64,000 hectares of tropical peat swamp forest. This area, rich in biodiversity including the endangered Bornean orangutan, was slated by the Provincial government to be converted into four palm oil estates. Located on the southern coast of Borneo in the province of Central Kalimantan, the project is also designed to protect the integrity of the adjacent world-renowned Tanjung Puting National Park, by creating a physical buffer zone on the full extent of the ~90km eastern border of the park.  More information at www.verra.org",40649.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
23144,Norwegian Air Shuttle ASA,1,,Wind,Emissions reduction,"CDM Project 9990: Mampuri Wind Power Project 3: The project proponent proposes to set up a 10.5MW 1 wind based power plant in the Mampuri/ Nawakkadu village area, along the coastal belt of the North Western coast of Sri Lanka. The purpose of the project activity is to harness the kinetic energy of wind along the North Western Coastal belt of Sri Lanka and utilize this energy to generate electricity. Under the project activity, only around 25,476MWh of electricity will be generated annually due to the lower PLF of the project activity. The electricity produced will be supplied to the Ceylon Electricity Board (CEB) national grid; through a dedicated transmission line.",20000.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
29901,"ENEOS Holdings, Inc.",0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
31588,"Copa Holdings, S.A.",0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
36606,Marathon Petroleum,1,,"Other, please specify: Various project types are available under California Air Resources Board (""ARB"")  Compliance Offset Program. Project specific offsets acquired by MPC are not disclosed due to confidentiality requirements imposed by the California CaT - ETS.",Carbon removal,"California Air Resources Board (""ARB"") issues ARB Offset Credits to qualifying projects that reduce or sequester greenhouse gases (GHG) pursuant to Board-approved Compliance Offset Protocols. If needed, MPC may acquire and surrender these ARB offset credits to meet our compliance obligation. Project specifics are not able to disclosed due to confidentiality requirements imposed by the California CaT - ETS. However, information regarding total number of offsets surrendered is publicly available on ARBs website (https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/cap-and-trade-program-data). 2022 offset credits will be available publicly later in the year. However, for 2021 MPC surrendered 0 offsets; this value is disclosed in the following row.",0.00,Compliance with a carbon pricing system,Purchased,California Air Resources Board Compliance Offset Program
36707,"International Consolidated Airlines Group, S.A.",1,,"Other, please specify: Mixture of project types",Emissions reduction,"Since January 2020 British Airways has been ensuring net zero CO2 emissions on all domestic flights within the UK. Equivalent emissions reductions have been achieved through British Airways' voluntary investment in a range of quality, Gold Standard- and Verified Carbon Standard (VCS)-verified carbon reduction projects. 2022 projects included grassland protection in Uruguay and Kenya, rainforest protection in the Congo Basin, and sustainable cook stoves for communities in Vietnam. The total below also includes carbon credits from Group employee travel. In 2022 we purchased 25% of Nature-Based projects that deliver carbon removal rather than emissions reduction.  IAG has also been a long-time supporter of REDD+ projects given the large volume of CO2 emissions still linked to deforestation and more than 60% of the portfolio is REDD+.",228711.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
36979,SK Innovation Co Ltd,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
44253,Grupo Aeromexico SAB de CV,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
49618,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,1,,Wind,Emissions reduction,"Urla Wind Power Plant is located in Urla, Ovacık village of İzmir province in Türkiye and developed by Hassas Teknik Enerji Elektrik Üretim Sanayive Ticaret Anonim Şirketi. The project has 6 wind turbines with a unit capacity of 3 MW each. With a total installed capacity of 18 MW, the project is estimated to supply grid as 62,000 MWh per annum. An expected annual emission reduction of the project is approximately 34,298 tCO 2 eq/year and a t otal reduction of 342,979 tCO 2 eq over the 10 year crediting period.",3795.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
49618,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,2,,Wind,Emissions reduction,"Urla Wind Power Plant is located in Urla, Ovacık village of İzmir province in Türkiye and developed by Hassas Teknik Enerji Elektrik Üretim Sanayive Ticaret Anonim Şirketi. The project has 6 wind turbines with a unit capacity of 3 MW each. With a total installed capacity of 18 MW, the project is estimated to supply grid as 62,000 MWh per annum. An expected annual emission reduction of the project is approximately 34,298 tCO 2 eq/year and a t otal reduction of 342,979 tCO 2 eq over the 10 year crediting period.",4065.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
50174,Avianca Group,1,,Reforestation,Carbon removal,"SKCARBONO Forestry project has established Eucalyptus and Pinus species in an area of 18,096 hectares, localized in 6 departments in Colombia (Caldas, Cauca, Quindío, Risaralda, Tolima y Valle Del Cauca). The main objective of the project is to establish, conserve and harvest forest plantations on own and third-party (joint venture) lands so that these plantations achieve the removal and capture of CO2 from the atmosphere.",253697.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
50174,Avianca Group,2,,Hydro,Emissions reduction,"El Quimbo Hydroelectric Project is located in the Department of Huila, Colombia, and its objective is to generate electricity from a renewable source for total supply to the National Interconnected System, thus contributing to the reduction of CO2 emissions.",266148.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
50174,Avianca Group,3,,Hydro,Emissions reduction,The Sogamoso Hydroelectric Project is a reservoir-based hydropower project located in the Santander Department of the Republic of Colombia. The purpose of the Project is to utilize the hydrological resources of the Sogamoso River through the construction of a dam to generate low emissions electricity for the Grid.,215329.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
58656,NFI Group Inc.,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
58720,Wizz Air Holdings,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
59325,Ferrari,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
59365,Chorus Aviation,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
73994,Azul Sa,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
839615,KazMunayGas National Company JCS,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
840836,Volvo Car Group,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
849766,Petroliam Nasional Berhad (PETRONAS),0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
866803,Mercedes-Benz Group AG,1,,"Other, please specify: Impact Carbon Global Safe Water",Emissions reduction,"The stated goal of the PoA is the widespread dissemination and use of low-carbon water purification technologies to households, communities, and institutions throughout Rwanda and Uganda.",400000.00,Voluntary offsetting,Purchased,Gold Standard
866803,Mercedes-Benz Group AG,2,,Biomass energy,Emissions reduction,Wastewater Treatment and Biogas Utilization Project in Thailand. The project replaces the existing wastewater treatment practice and thus avoids the release of methane into the atmosphere that results from the anaerobic digestion of the organic content in the wastewater.,12000.00,Voluntary offsetting,Purchased,Gold Standard
866803,Mercedes-Benz Group AG,3,,Geothermal,Emissions reduction,Geothermal power project in Indonesia,72996.00,Voluntary offsetting,Purchased,Gold Standard
866803,Mercedes-Benz Group AG,4,,Hydro,Emissions reduction,"Hydropower: small, low-impact Hydropower project in Laos",16500.00,Voluntary offsetting,Purchased,Gold Standard
866803,Mercedes-Benz Group AG,5,,Biomass energy,Emissions reduction,The Biogas Support Program aims at implementing household biogas applications in Nepal (switch from non-renewable biomass).,180000.00,Voluntary offsetting,Purchased,Gold Standard
